location_name,source_location_names,sensor,source_sensor_count,lat,lon,weekly_observation_count,excluded_anomalous_week_count,first_week,last_week,target_definition,raw_median_weekly_passers,median_weekly_passers,mean_weekly_passers,p25_weekly_passers,p75_weekly_passers,min_weekly_passers,max_weekly_passers,iqr_weekly_passers,variability_ratio,latest_week_date,latest_weekly_passers
Damstraat,Damstraat,CMSA-GAWW-21,1,52.371932,4.895603,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,462728,463537,459618,398754,515341,245643,679831,116586,0.252,2024-03-25T00:00:00,217137
Damrak 1-5,Damrak 1-5,GACM-04,1,52.377016,4.898084,63,2,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,428660,430649,426398,340231,514206,143429,627170,173976,0.404,2024-03-25T00:00:00,181456
Kalverstraat t.h.v. 1,Kalverstraat t.h.v. 1,CMSA-GAKH-01,1,52.372636,4.892074,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,404009,404456,402107,346181,442416,256216,567731,96235,0.238,2024-03-25T00:00:00,163779
Oudekennissteeg,Oudekennissteeg,CMSA-GAWW-12,1,52.373862,4.898693,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,344997,346633,345965,313962,371409,246865,499878,57448,0.166,2024-03-25T00:00:00,154912
Oudebrugsteeg,Oudebrugsteeg,CMSA-GAWW-20,1,52.375352,4.897483,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,310088,312888,316118,283912,357287,153025,437198,73375,0.235,2024-03-25T00:00:00,119335
Korte Niezel,Korte Niezel,CMSA-GAWW-11,1,52.374618,4.899833,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,303405,303472,303350,261824,342732,134035,422819,80908,0.267,2024-03-25T00:00:00,121323
Oudezijds Achterburgwal t.h.v. 86,Oudezijds Achterburgwal t.h.v. 86,CMSA-GAWW-15,1,52.372918,4.89821,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,258862,259196,254423,229113,277047,175860,365463,47934,0.185,2024-03-25T00:00:00,97492
Oudezijds Achterburgwal t.h.v. 91,Oudezijds Achterburgwal t.h.v. 91,CMSA-GAWW-16,1,52.37263,4.898236,56,9,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,233068,244157,238413,207798,266979,119824,339782,59181,0.242,2024-03-25T00:00:00,73076
Stoofsteeg,Stoofsteeg,CMSA-GAWW-13,1,52.372441,4.897692,60,5,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,195711,218082,200061,143028,246046,80797,295154,103018,0.472,2024-03-25T00:00:00,56807
Molensteeg,Molensteeg,CMSA-GAWW-19,1,52.373589,4.899818,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,204746,205158,200136,183190,221616,90632,293792,38426,0.187,2024-03-25T00:00:00,91478
Oudezijds Voorburgwal t.h.v. 206,Oudezijds Voorburgwal t.h.v. 206,CMSA-GAWW-17,1,52.372784,4.896652,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,195179,195266,192409,171318,211804,110675,273430,40486,0.207,2024-03-25T00:00:00,82437
CS - ri. Buiksloterweg (Oost),CS - ri. Buiksloterweg (Oost),GVCV-04,1,52.380511,4.899532,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,162061,162112,153224,97734,198816,50561,257699,101082,0.624,2024-03-25T00:00:00,47069
CS - ri. Buiksloterweg (West),CS - ri. Buiksloterweg (West),GVCV-03,1,52.380562,4.899368,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,159165,160390,166372,143418,191986,93077,262736,48568,0.303,2024-03-25T00:00:00,73737
Oudezijds Voorburgwal t.h.v. 91,Oudezijds Voorburgwal t.h.v. 91,CMSA-GAWW-14,1,52.37354,4.898169,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,103102,104055,105260,88282,118951,62131,164947,30670,0.295,2024-03-25T00:00:00,44410
CS - ri. NDSM,CS - ri. NDSM,GVCV-01,1,52.380675,4.899052,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,80938,83506,82353,69360,95376,39771,127214,26016,0.312,2024-03-25T00:00:00,32300
Bloedstraat,Bloedstraat,CMSA-GAWW-23,1,52.372766,4.899832,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,74683,74694,73468,64770,82165,50877,102171,17395,0.233,2024-03-25T00:00:00,25975
Pontsteiger N (ri. NDSM),Pontsteiger N (ri. NDSM),GVCV-07,1,52.392145,4.885864,64,1,2023-01-02T00:00:00,2024-03-25T00:00:00,direction_neutral_normal_week_median,38679,39112,40114,32960,49050,17603,65841,16090,0.411,2024-03-25T00:00:00,17453
