feature_set,alpha,feature_count,mae,mape_pct,rmse_log,rank_correlation,features,rmse_improvement_vs_baseline_pct
compact_market_context_300m,3.0,10,64029.154569568585,52.88227996501092,0.5789443008591322,0.83,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_street_shop_count_120m;in_key_shopping_area;lodging_count_500m;horeca_count_300m,19.13
compact_market_context,3.0,10,63373.631758340896,54.26762768213671,0.5853305057861173,0.8484615384615385,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_street_shop_count_120m;in_key_shopping_area;lodging_count_500m;horeca_count_200m,18.23
curated_context,10.0,13,70462.16320391023,57.77010192061447,0.630784310037196,0.8246153846153846,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_street_shop_count_120m;nightlife_count_300m;high_capacity_transit_count_500m;visitor_destination_count_500m;distance_to_amsterdam_center_m;pedestrian_street_length_200m;intersection_count_150m,11.88
high_street_and_key_area,3.0,8,66708.78899102265,63.24427419015554,0.6443858038291026,0.86,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_street_shop_count_120m;in_key_shopping_area,9.98
baseline_plus__high_street_shop_count_120m,3.0,7,61936.585543763795,61.68520481967007,0.6464176408058616,0.8430769230769231,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_street_shop_count_120m,9.7
baseline_plus__lodging_count_500m,3.0,7,61507.38200692592,60.606557156220155,0.6508625788632202,0.7738461538461539,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;lodging_count_500m,9.08
baseline_plus__horeca_count_300m,1.0,7,58052.943456956746,57.49675351343752,0.6601384542750189,0.7630769230769231,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;horeca_count_300m,7.78
urban_context,10.0,8,79749.69426062205,68.00077369167789,0.6609876053438479,0.8315384615384616,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_amsterdam_center_m;in_key_shopping_area,7.66
baseline_plus__in_key_shopping_area,3.0,7,59306.75467258991,63.186736969277355,0.6621245203927832,0.8292307692307692,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;in_key_shopping_area,7.51
retail_scales,3.0,13,66258.90521988174,61.27548316379703,0.6664178579330138,0.7823076923076923,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;shop_count_40m;shop_count_120m;shop_count_200m;shop_count_300m;high_street_shop_count_120m;distance_to_nearest_shop_m;retail_concentration_80_300,6.91
baseline_plus__distance_to_amsterdam_center_m,10.0,7,76422.49831743087,66.4788402549342,0.6678991370347515,0.7592307692307693,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_amsterdam_center_m,6.7
baseline_plus__shop_count_300m,3.0,7,66658.30787358945,61.233392051103955,0.6765899389668768,0.7561538461538462,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;shop_count_300m,5.48
baseline_plus__tourism_poi_count_500m,3.0,7,64815.67696779648,62.78660877043969,0.676668827013409,0.76,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;tourism_poi_count_500m,5.47
visitor_destinations,3.0,11,63584.24981083251,63.025231189708485,0.6768345832398456,0.7569230769230769,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;tourism_poi_count_100m;tourism_poi_count_500m;distance_to_nearest_tourism_poi_m;visitor_destination_count_500m;lodging_count_500m,5.45
baseline_plus__visitor_destination_count_500m,3.0,7,61859.09038322309,62.99473156994671,0.6791674683477461,0.7723076923076924,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;visitor_destination_count_500m,5.12
baseline_plus__walkable_street_length_200m,3.0,7,60354.602512870784,58.441143963182704,0.6854669390026605,0.7669230769230769,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;walkable_street_length_200m,4.24
baseline_plus__shop_count_120m,3.0,7,61023.47520964878,64.1184704416792,0.6911328606061982,0.7546153846153846,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;shop_count_120m,3.45
baseline_plus__horeca_count_200m,1.0,7,57089.49067180533,62.48182967055247,0.7040476147211702,0.7676923076923077,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;horeca_count_200m,1.65
baseline_plus__active_poi_categories_300m,1.0,7,63792.64971013428,68.44049577863582,0.7066402209058866,0.7923076923076923,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;active_poi_categories_300m,1.29
baseline_plus__nightlife_count_300m,3.0,7,66145.02642767962,65.64713747132234,0.7107886003718641,0.7684615384615384,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;nightlife_count_300m,0.71
horeca_scales,3.0,12,68662.0254553259,67.3862386461932,0.710894242990729,0.7607692307692308,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;horeca_count_60m;horeca_count_200m;horeca_count_300m;nightlife_count_300m;distance_to_nearest_horeca_m;horeca_concentration_120_300,0.69
baseline_plus__shop_count_200m,3.0,7,64672.58939395824,65.12722773568153,0.7125402196829548,0.7515384615384615,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;shop_count_200m,0.46
baseline,1.0,6,60787.77905778847,66.01060135726462,0.7158515374992622,0.7692307692307693,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area,0.0
baseline_plus__distance_to_nearest_horeca_m,1.0,7,67154.92188931504,67.63116869080591,0.7212807032507641,0.7807692307692308,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_nearest_horeca_m,-0.76
baseline_plus__tourism_poi_count_100m,1.0,7,61629.5925137873,66.93535466802147,0.7214160377050515,0.7692307692307693,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;tourism_poi_count_100m,-0.78
baseline_plus__transit_stop_count_500m,1.0,7,66512.88934662813,68.47270649724553,0.7216719983331464,0.7707692307692308,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;transit_stop_count_500m,-0.81
baseline_plus__pedestrian_street_length_200m,3.0,7,65272.6197510782,64.99490182984704,0.721841300542515,0.7638461538461538,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;pedestrian_street_length_200m,-0.84
baseline_plus__retail_concentration_80_300,1.0,7,63073.55119525509,66.31792246208288,0.7237582446483157,0.7684615384615384,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;retail_concentration_80_300,-1.1
baseline_plus__horeca_concentration_120_300,3.0,7,62189.034190378115,71.73107406720268,0.7243159151401235,0.7684615384615384,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;horeca_concentration_120_300,-1.18
baseline_plus__transit_stop_count_100m,3.0,7,70722.44948761008,70.52376810318208,0.728758852712513,0.7376923076923076,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;transit_stop_count_100m,-1.8
baseline_plus__high_capacity_transit_count_500m,1.0,7,67081.8157610101,70.12040092971866,0.7300492829957281,0.7569230769230769,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;high_capacity_transit_count_500m,-1.98
baseline_plus__horeca_count_60m,1.0,7,62929.72542254796,68.05189140257596,0.7328075485425292,0.7569230769230769,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;horeca_count_60m,-2.37
baseline_plus__shop_count_40m,3.0,7,71743.72283235175,72.31113277117635,0.7338311840586946,0.7538461538461538,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;shop_count_40m,-2.51
baseline_plus__intersection_count_150m,1.0,7,62820.56595834521,70.21332974336744,0.7369637464110269,0.7661538461538462,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;intersection_count_150m,-2.95
baseline_plus__distance_to_nearest_shop_m,3.0,7,77300.98319033229,73.06381893133883,0.7376437406369689,0.7561538461538462,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_nearest_shop_m,-3.04
baseline_plus__distance_to_nearest_tourism_poi_m,1.0,7,62223.506290926234,69.22627082038998,0.7465590390323431,0.7523076923076923,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_nearest_tourism_poi_m,-4.29
street_context,10.0,11,66015.8123472059,72.00390750997794,0.7515104757689917,0.77,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;walkable_street_length_200m;pedestrian_street_length_200m;pedestrian_street_share_200m;intersection_count_150m;distance_to_nearest_intersection_m,-4.98
transit_hierarchy,1.0,9,72316.93388317268,74.28412099297407,0.7572375658873742,0.7438461538461538,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;transit_stop_count_100m;transit_stop_count_500m;high_capacity_transit_count_500m,-5.78
baseline_plus__distance_to_nearest_intersection_m,3.0,7,69934.68832357571,75.53394336888053,0.7621621721756554,0.7676923076923077,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;distance_to_nearest_intersection_m,-6.47
poi_mix,3.0,9,67253.01307824664,76.8594573160121,0.7680264190364823,0.7784615384615384,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;active_poi_categories_300m;retail_concentration_80_300;horeca_concentration_120_300,-7.29
baseline_plus__pedestrian_street_share_200m,1.0,7,62953.28628966298,77.7829616701736,0.7739567675727437,0.7546153846153846,shop_count_80m;horeca_count_120m;transit_stop_count_250m;distance_to_nearest_transit_m;tourism_poi_count_300m;in_official_shopping_area;pedestrian_street_share_200m,-8.12
