model,alpha,huber_delta,mae,mape_pct,rmse_log
huber_ridge,3.0,1.35,59344.14538403347,53.00919138817601,0.5674750364588386
lasso_cd,0.03,,64586.40600643084,52.35621809871919,0.5762066434681118
ridge,3.0,,63373.631758340896,54.26762768213671,0.5853305057861173
ridge,10.0,,53796.568110473294,57.44365024415758,0.5980480720307904
lasso_cd,0.1,,54926.78449082776,56.75368409918513,0.6037173430109788
ridge,1.0,,73223.6367946122,57.766022371225944,0.6121505348375664
lasso_cd,0.01,,74596.29090727212,57.13197598764893,0.6203528693199213
ridge,0.1,,96733.19334093574,69.78686556614628,0.6993882244845886
ridge,30.0,,65373.269349982125,78.60936451864252,0.7165267884192597
tree_stump,0.0,,76759.72146808168,83.7468457825558,0.7324292271951476
lasso_cd,0.3,,72305.98930609511,82.13433015399826,0.7485035546321939
ols,0.0,,111624.8630054066,78.14547702483289,0.7591521935205452
ridge,100.0,,90972.20211295206,130.55276731032777,0.9631385573689403
mean_baseline,0.0,,134106.8959272484,302.21979083232907,1.5055586304099882
