location_name,source_sensor_count,raw_week_count,excluded_week_count,target_week_count,raw_median,target_median
Damstraat,1,65,0,65,462728,462728
Damrak 1-5,1,65,0,65,428660,428660
Kalverstraat t.h.v. 1,1,65,0,65,404009,404009
Oudekennissteeg,1,65,0,65,344997,344997
Oudebrugsteeg,1,65,0,65,310088,310088
Korte Niezel,1,65,0,65,303405,303405
Oudezijds Achterburgwal t.h.v. 86,1,65,0,65,258862,258862
Oudezijds Achterburgwal t.h.v. 91,1,65,0,65,233068,233068
Stoofsteeg,1,65,0,65,195711,195711
Molensteeg,1,65,0,65,204746,204746
Oudezijds Voorburgwal t.h.v. 206,1,65,0,65,195179,195179
CS - ri. Buiksloterweg (Oost),1,65,0,65,162061,162061
CS - ri. Buiksloterweg (West),1,65,0,65,159165,159165
Oudezijds Voorburgwal t.h.v. 91,1,65,0,65,103102,103102
CS - ri. NDSM,1,65,0,65,80938,80938
Bloedstraat,1,65,0,65,74683,74683
Pontsteiger N (ri. NDSM),1,65,0,65,38679,38679
CS - ri. IJplein (Oost) + CS - ri. IJplein (West),2,65,0,65,38452,38452
Azartplein,1,65,0,65,22826,22826
CTO Boulevard 5,1,62,0,62,19541,19541
CTO Boulevard 4,1,62,0,62,11669,11669
Pontsteiger Z (ri. Distelweg),1,65,0,65,11231,11231
CTO Boulevard 3,1,60,0,60,8756,8756
CTO Boulevard 2,1,54,0,54,8105,8105
Zeeburg,1,64,0,64,3411,3411
